Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-07,143.35,144.39,143.28,143.77,17786700,0.0,0
2019-11-08,143.49,145.49,143.27,145.47,16732700,0.0,0
2019-11-11,144.85,145.92,144.24,145.61,14362600,0.0,0
2019-11-12,145.78,147.07,145.56,146.57,18641600,0.0,0
2019-11-13,146.24,146.96,145.78,146.81,16919200,0.0,0
2019-11-14,146.52,147.91,146.5,147.56,19729800,0.0,0
2019-11-15,148.42,149.48,147.77,149.46,23485700,0.0,0
2019-11-18,149.56,150.04,148.47,149.83,21534000,0.0,0
2019-11-19,150.37,150.82,149.69,149.88,23935700,0.0,0
2019-11-20,150.31,150.84,148.46,149.62,25696800,0.51,0
2019-11-21,149.4,149.8,148.5,149.48,18576100,0.0,0
2019-11-22,150.07,150.3,148.82,149.59,15901800,0.0,0
2019-11-25,150.0,151.35,149.92,151.23,22420900,0.0,0
2019-11-26,151.36,152.42,151.32,152.03,24620100,0.0,0
2019-11-27,152.33,152.5,151.52,152.32,15184400,0.0,0
2019-11-29,152.1,152.3,151.28,151.38,11977300,0.0,0
2019-12-02,151.81,151.83,148.32,149.55,27418400,0.0,0
2019-12-03,147.49,149.43,146.65,149.31,24066000,0.0,0
2019-12-04,150.14,150.18,149.2,149.85,17574700,0.0,0
2019-12-05,150.05,150.32,149.48,149.93,17869100,0.0,0
2019-12-06,150.99,151.87,150.27,151.75,16403500,0.0,0
2019-12-09,151.07,152.21,150.91,151.36,16687400,0.0,0
2019-12-10,151.29,151.89,150.76,151.13,16476100,0.0,0
2019-12-11,151.54,151.87,150.33,151.7,18856600,0.0,0
2019-12-12,151.65,153.44,151.02,153.24,24612100,0.0,0
2019-12-13,153.0,154.89,152.83,154.53,23845400,0.0,0
2019-12-16,155.11,155.9,154.82,155.53,24144200,0.0,0
2019-12-17,155.45,155.71,154.45,154.69,25425600,0.0,0
2019-12-18,154.3,155.48,154.18,154.37,24129200,0.0,0
2019-12-19,154.0,155.77,153.75,155.71,24958900,0.0,0
2019-12-20,157.35,158.49,156.29,157.41,53477500,0.0,0
2019-12-23,158.12,158.12,157.27,157.41,17718200,0.0,0
2019-12-24,157.48,157.71,157.12,157.38,8989200,0.0,0
2019-12-26,157.56,158.73,157.4,158.67,14520600,0.0,0
2019-12-27,159.45,159.55,158.22,158.96,18412800,0.0,0
2019-12-30,158.99,159.02,156.73,157.59,16348400,0.0,0
2019-12-31,156.77,157.77,156.45,157.7,18369400,0.0,0
2020-01-02,158.78,160.73,158.33,160.62,22622100,0.0,0
2020-01-03,158.32,159.95,158.06,158.62,21116200,0.0,0
2020-01-06,157.08,159.1,156.51,159.03,20813700,0.0,0
2020-01-07,159.32,159.67,157.32,157.58,21634100,0.0,0
2020-01-08,158.93,160.8,157.95,160.09,27746500,0.0,0
2020-01-09,161.84,162.22,161.03,162.09,21385000,0.0,0
2020-01-10,162.82,163.22,161.18,161.34,20725900,0.0,0
2020-01-13,161.76,163.31,161.26,163.28,21626500,0.0,0
2020-01-14,163.39,163.6,161.72,162.13,23477400,0.0,0
2020-01-15,162.62,163.94,162.57,163.18,21417900,0.0,0
2020-01-16,164.35,166.24,164.03,166.17,23865400,0.0,0
2020-01-17,167.42,167.47,165.43,167.1,34371700,0.0,0
2020-01-21,166.68,168.19,166.43,166.5,29517200,0.0,0
2020-01-22,167.4,167.49,165.68,165.7,24109700,0.0,0
2020-01-23,166.19,166.79,165.27,166.72,12783011,0.0,0